Year,Electric systems,Campers,Other recorded causes,Known,All
2023,10,6,113,129,284
2022,11,6,154,171,306
2021,16,7,233,256,385
2020,41,9,297,347,504
2019,23,4,196,223,310
2018,26,7,203,236,412
2017,32,13,367,412,608
2016,9,9,197,215,356
2015,9,8,211,228,303
2014,6,19,142,167,235
2013,14,15,177,206,296
2012,15,9,224,248,350
2011,16,8,225,249,316
2010,9,3,145,157,207
2009,12,6,183,201,251
2008,12,10,359,381,423
2007,16,16,240,272,345
2006,13,8,247,268,311
2005,13,13,220,246,304
2004,10,3,217,230,274
