Year,Season,Month,Day,Agency,Unit ID,Size,Cause
2023.0,Summer,6,17,CDF,SKU,5.729125,5.0
2023.0,Summer,6,2,LRA,BTU,13.60238,5.0
2023.0,Summer,7,1,CDF,AEU,27.81446,2.0
2023.0,Summer,7,11,CDF,AEU,58.76023,9.0
2023.0,Summer,7,11,CDF,AEU,70.979,14.0
2023.0,Summer,6,18,CDF,AEU,28.63791,14.0
2023.0,Summer,7,13,CDF,BEU,13.59313,10.0
2023.0,Summer,7,9,CDF,BEU,391.3749,14.0
2023.0,Summer,7,15,CDF,BEU,40.41796,10.0
2023.0,Summer,7,19,CDF,BEU,296.6445,14.0
2023.0,Summer,7,24,CDF,SHU,161.8137,6.0
2023.0,Summer,6,15,CDF,SHU,11.91801,2.0
2023.0,Summer,7,29,CDF,SHU,20.67,2.0
2023.0,Summer,7,26,CDF,BTU,52.17383,7.0
2023.0,Summer,6,21,LRA,BTU,10.07201,4.0
2023.0,Summer,7,14,CDF,RRU,8354.776,10.0
2023.0,Summer,7,14,CDF,RRU,104.0207,14.0
2023.0,Summer,7,14,CDF,RRU,435.684,7.0
2023.0,Summer,7,15,CDF,RRU,334.5828,14.0
2023.0,Spring,5,22,LRA,RRU,337.9316,2.0
2023.0,Summer,8,9,LRA,BTU,74.10231,14.0
2023.0,Summer,8,15,CDF,MEU,56.87772,1.0
2023.0,Fall,9,16,LRA,BTU,19.28816,11.0
2023.0,Fall,10,14,CDF,AEU,11.7,2.0
2023.0,Fall,10,30,CDF,RRU,2487.0,9.0
2023.0,Fall,11,2,CDF,AEU,11.1,5.0
2023.0,Fall,11,12,CDF,BTU,11.12262,7.0
2023.0,Spring,5,1,CCO,KRN,83.71268,11.0
2023.0,Spring,5,3,CCO,KRN,5.948729,14.0
2023.0,Spring,5,10,CCO,KRN,3.267727,14.0
2023.0,Spring,5,12,CCO,KRN,225.6406,14.0
2023.0,Spring,5,14,CCO,KRN,14.74279,2.0
2023.0,Spring,5,18,LRA,KRN,6.763345,14.0
2023.0,Spring,5,21,CCO,KRN,9.687215,14.0
2023.0,Spring,5,22,CCO,KRN,6.860587,14.0
2023.0,Summer,6,4,CCO,KRN,4.915308,2.0
